code,name_fa,name_en,name_ru,name_local,country,is_border_crossing,trade_role,aliases,code_verified
13601608,Brest-Severniy (Northern),Brest-Severniy (Northern),,,Belarusian,,,"Brest-Severniy (Northern), BEL",false
1360505,Brest-Severniy (Northern) (exp.),Brest-Severniy (Northern) (exp.),,,Belarusian,,,"Brest-Severniy (Northern) (exp.), BEL",false
1366087,Brest-Tsentralniy,Brest-Tsentralniy,,,Belarusian,,,"Brest-Tsentralniy, BEL",false
1360609,Brest-Tsentralniy (exp.),Brest-Tsentralniy (exp.),,,Belarusian,,,"Brest-Tsentralniy (exp.), BEL",false
130704,Brest-Vostochniy (Eastern),Brest-Vostochniy (Eastern),,,Belarusian,,,"Brest-Vostochniy (Eastern), BEL",false
130837,Brest-Yuzhniy (Southern),Brest-Yuzhniy (Southern),,,Belarusian,,,"Brest-Yuzhniy (Southern), BEL",false
134008,Bronnaya gora,Bronnaya gora,,,Belarusian,,,"Bronnaya gora, BEL",false
1475606,Brozha,Brozha,,,Belarusian,,,"Brozha, BEL",false
135104,Bruzhi,Bruzhi,,,Belarusian,,,"Bruzhi, BEL",false
134807,Bruzhi (exp.),Bruzhi (exp.),,,Belarusian,,,"Bruzhi (exp.), BEL",false
155781,Buda-Koshelevskaya,Buda-Koshelevskaya,,,Belarusian,,,"Buda-Koshelevskaya, BEL",false
163833,Budslav,Budslav,,,Belarusian,,,"Budslav, BEL",false
139618,Budy,Budy,,,Belarusian,,,"Budy, BEL",false
147309,Bumazhkovo,Bumazhkovo,,,Belarusian,,,"Bumazhkovo, BEL",false
168678,Burbin,Burbin,,,Belarusian,,,"Burbin, BEL",false
1686606,Burbin,Burbin,,,Belarusian,,,"Burbin, BEL",false
1564601,Buynychy,Buynychy,,,Belarusian,,,"Buynychy, BEL",false
1667160,Bychiha,Bychiha,,,Belarusian,,,"Bychiha, BEL",false
1561608,Byhov,Byhov,,,Belarusian,,,"Byhov, BEL",false
1683605,Chashniky,Chashniky,,,Belarusian,,,"Chashniky, BEL",false
158602,Chausy,Chausy,,,Belarusian,,,"Chausy, BEL",false
1663603,Chepino,Chepino,,,Belarusian,,,"Chepino, BEL",false
165612,Chernitzy,Chernitzy,,,Belarusian,,,"Chernitzy, BEL",false
156308,Chernozyomovka,Chernozyomovka,,,Belarusian,,,"Chernozyomovka, BEL",false
166634,Cherveno,Cherveno,,,Belarusian,,,"Cherveno, BEL",false
16666080,Cherveno,Cherveno,,,Belarusian,,,"Cherveno, BEL",false
166678,Cherveno-Styk,Cherveno-Styk,,,Belarusian,,,"Cherveno-Styk, BEL",false
149234,Daraganovo,Daraganovo,,,Belarusian,,,"Daraganovo, BEL",false
1562742,Dashkovka,Dashkovka,,,Belarusian,,,"Dashkovka, BEL",false
1437602,Degtyarevka,Degtyarevka,,,Belarusian,,,"Degtyarevka, BEL",false
154459,Demehi,Demehi,,,Belarusian,,,"Demehi, BEL",false
1492902,Derevtsy,Derevtsy,,,Belarusian,,,"Derevtsy, BEL",false
160939,Dobrino,Dobrino,,,Belarusian,,,"Dobrino, BEL",false
1565609,Dobrush,Dobrush,,,Belarusian,,,"Dobrush, BEL",false
1343509,Domanovo,Domanovo,,,Belarusian,,,"Domanovo, BEL",false
1384292,Domashevichi,Domashevichi,,,Belarusian,,,"Domashevichi, BEL",false
1329805,Drogichyn,Drogichyn,,,Belarusian,,,"Drogichyn, BEL",false
1573608,Druty,Druty,,,Belarusian,,,"Druty, BEL",false
1646605,Druya,Druya,,,Belarusian,,,"Druya, BEL",false
161518,Dryetun,Dryetun,,,Belarusian,,,"Dryetun, BEL",false
132505,Dubitsa,Dubitsa,,,Belarusian,,,"Dubitsa, BEL",false
1434601,Dubravy,Dubravy,,,Belarusian,,,"Dubravy, BEL",false
1535827,Dubrovchi,Dubrovchi,,,Belarusian,,,"Dubrovchi, BEL",false
139463,Dyatlovichi,Dyatlovichi,,,Belarusian,,,"Dyatlovichi, BEL",false
144442,Dzyarzhynsk,Dzyarzhynsk,,,Belarusian,,,"Dzyarzhynsk, BEL",false
16160805,Ezerishche (exp.),Ezerishche (exp.),,,Belarusian,,,"Ezerishche (exp.), BEL",false
1491276,Falichi,Falichi,,,Belarusian,,,"Falichi, BEL",false
1446601,Fanypol,Fanypol,,,Belarusian,,,"Fanypol, BEL",false
1657803,Farynovo,Farynovo,,,Belarusian,,,"Farynovo, BEL",false
142377,Festivalniy,Festivalniy,,,Belarusian,,,"Festivalniy, BEL",false
1653511,Fomino,Fomino,,,Belarusian,,,"Fomino, BEL",false
1396803,Gantsevichi,Gantsevichi,,,Belarusian,,,"Gantsevichi, BEL",false
1451606,Gatovo,Gatovo,,,Belarusian,,,"Gatovo, BEL",false
162309,Gavya,Gavya,,,Belarusian,,,"Gavya, BEL",false
135784,Gibulichy,Gibulichy,,,Belarusian,,,"Gibulichy, BEL",false
164966,Glubokoe,Glubokoe,,,Belarusian,,,"Glubokoe, BEL",false
161113,Glushanino,Glushanino,,,Belarusian,,,"Glushanino, BEL",false
164342,Godutishky (op),Godutishky (op),,,Belarusian,,,"Godutishky (op), BEL",false
153850,Golyevitzy,Golyevitzy,,,Belarusian,,,"Golyevitzy, BEL",false
157531,Golynetz,Golynetz,,,Belarusian,,,"Golynetz, BEL",false
1566608,Gomel,Gomel,,,Belarusian,,,"Gomel, BEL",false
156119,Gomel-Chyotniy (Even),Gomel-Chyotniy (Even),,,Belarusian,,,"Gomel-Chyotniy (Even), BEL",false
1566034,Gomel-Nechyotniy (Odd),Gomel-Nechyotniy (Odd),,,Belarusian,,,"Gomel-Nechyotniy (Odd), BEL",false
156138,Gomel-Severniy (Northern),Gomel-Severniy (Northern),,,Belarusian,,,"Gomel-Severniy (Northern), BEL",false
1541605,Gorochichy,Gorochichy,,,Belarusian,,,"Gorochichy, BEL",false
1328601,Gorodetz,Gorodetz,,,Belarusian,,,"Gorodetz, BEL",false
13866080,Gorodeya,Gorodeya,,,Belarusian,,,"Gorodeya, BEL",false
146981,Gorodishche,Gorodishche,,,Belarusian,,,"Gorodishche, BEL",false
166418,Gorodnyanskiy,Gorodnyanskiy,,,Belarusian,,,"Gorodnyanskiy, BEL",false
1666604,Gorodok,Gorodok,,,Belarusian,,,"Gorodok, BEL",false
1611278,Goryany,Goryany,,,Belarusian,,,"Goryany, BEL",false
138808,Goryn (exp.),Goryn (exp.),,,Belarusian,,,"Goryn (exp.), BEL",false
1680731,Gribachi,Gribachi,,,Belarusian,,,"Gribachi, BEL",false
